Dep Airport Code;Arr Airport Code;Dep Airport Name;Dep IATA Country Code;Dep IATA Country Name;Arr Airport Code;Arr Airport Name;Arr IATA Country Code;Arr IATA Country Name;Dep Region Code;Dep Region Name;Arr Region Code;Arr Region Name;Frequency;Seats Total
BMW;AZR;Bordj Mokhtar;DZ;Algeria;AZR;Adrar;DZ;Algeria;AF1;Africa : North Africa;AF1;Africa : North Africa;22;1452
BSK;LYS;Biskra;DZ;Algeria;LYS;Lyon St-exupery Apt;FR;France;AF1;Africa : North Africa;EU1;Europe : Western Europe;4;648
CDG;BJA;Paris Charles de Gaulle Apt;FR;France;BJA;Bejaia;DZ;Algeria;EU1;Europe : Western Europe;AF1;Africa : North Africa;4;576
CZL;GHA;Constantine;DZ;Algeria;GHA;Ghardaia;DZ;Algeria;AF1;Africa : North Africa;AF1;Africa : North Africa;5;330
ALG;BEY;Algiers;DZ;Algeria;BEY;Beirut;LB;Lebanon;AF1;Africa : North Africa;ME1;Middle East;13;1456
ALG;DJG;Algiers;DZ;Algeria;DJG;Djanet;DZ;Algeria;AF1;Africa : North Africa;AF1;Africa : North Africa;15;1812
ALG;ELG;Algiers;DZ;Algeria;ELG;El Golea;DZ;Algeria;AF1;Africa : North Africa;AF1;Africa : North Africa;4;264
ALG;HME;Algiers;DZ;Algeria;HME;Hassi Messaoud;DZ;Algeria;AF1;Africa : North Africa;AF1;Africa : North Africa;66;5858
ALG;NIM;Algiers;DZ;Algeria;NIM;Niamey;NE;Niger;AF1;Africa : North Africa;AF3;Africa : Central/Western Africa;14;2018
AZR;CZL;Adrar;DZ;Algeria;CZL;Constantine;DZ;Algeria;AF1;Africa : North Africa;AF1;Africa : North Africa;9;1004
AZR;OGX;Adrar;DZ;Algeria;OGX;Ouargla;DZ;Algeria;AF1;Africa : North Africa;AF1;Africa : North Africa;5;566
BCN;ORN;Barcelona Apt;ES;Spain;ORN;Oran Ahmed Ben Bella Apt;DZ;Algeria;EU1;Europe : Western Europe;AF1;Africa : North Africa;13;1924
BEY;ALG;Beirut;LB;Lebanon;ALG;Algiers;DZ;Algeria;ME1;Middle East;AF1;Africa : North Africa;13;1456
BJA;ORY;Bejaia;DZ;Algeria;ORY;Paris Orly Apt;FR;France;AF1;Africa : North Africa;EU1;Europe : Western Europe;27;4140
BLJ;MRS;Batna;DZ;Algeria;MRS;Marseille Provence Apt;FR;France;AF1;Africa : North Africa;EU1;Europe : Western Europe;4;592
CMN;ORN;Casablanca Mohammed V Apt;MA;Morocco;ORN;Oran Ahmed Ben Bella Apt;DZ;Algeria;AF1;Africa : North Africa;AF1;Africa : North Africa;14;4096
CZL;AZR;Constantine;DZ;Algeria;AZR;Adrar;DZ;Algeria;AF1;Africa : North Africa;AF1;Africa : North Africa;9;1004
CZL;MRS;Constantine;DZ;Algeria;MRS;Marseille Provence Apt;FR;France;AF1;Africa : North Africa;EU1;Europe : Western Europe;31;4588
DJG;ALG;Djanet;DZ;Algeria;ALG;Algiers;DZ;Algeria;AF1;Africa : North Africa;AF1;Africa : North Africa;16;1968
ELG;ALG;El Golea;DZ;Algeria;ALG;Algiers;DZ;Algeria;AF1;Africa : North Africa;AF1;Africa : North Africa;4;264
HME;ALG;Hassi Messaoud;DZ;Algeria;ALG;Algiers;DZ;Algeria;AF1;Africa : North Africa;AF1;Africa : North Africa;65;5746
HME;IAM;Hassi Messaoud;DZ;Algeria;IAM;In Amenas;DZ;Algeria;AF1;Africa : North Africa;AF1;Africa : North Africa;2;204
IAM;HME;In Amenas;DZ;Algeria;HME;Hassi Messaoud;DZ;Algeria;AF1;Africa : North Africa;AF1;Africa : North Africa;2;204
INZ;TMR;In Salah;DZ;Algeria;TMR;Tamanrasset;DZ;Algeria;AF1;Africa : North Africa;AF1;Africa : North Africa;5;330
JED;OGX;Jeddah;SA;Saudi Arabia;OGX;Ouargla;DZ;Algeria;ME1;Middle East;AF1;Africa : North Africa;2;604
MRS;BLJ;Marseille Provence Apt;FR;France;BLJ;Batna;DZ;Algeria;EU1;Europe : Western Europe;AF1;Africa : North Africa;4;592
MRS;CZL;Marseille Provence Apt;FR;France;CZL;Constantine;DZ;Algeria;EU1;Europe : Western Europe;AF1;Africa : North Africa;31;4588
